Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-04-14,Manchester by the Sea,2016,https://boxd.it/1N9FUr,3.5,,,2018-03-05
2021-04-14,The Departed,2006,https://boxd.it/1N9FVf,4.5,,,2018-03-05
2021-04-14,Life of Pi,2012,https://boxd.it/1N9G2F,4,,,2018-03-05
2021-04-14,Nocturnal Animals,2016,https://boxd.it/1N9G2Z,4.5,,,2018-03-05
2021-04-14,X-Men Origins: Wolverine,2009,https://boxd.it/1N9G47,2.5,,,2018-03-05
2021-04-14,Kingsman: The Golden Circle,2017,https://boxd.it/1N9G5z,3,,,2018-03-05
2021-04-14,The Dark Knight,2008,https://boxd.it/1N9G6d,4.5,,,2018-03-05
2021-04-14,No Country for Old Men,2007,https://boxd.it/1N9G7F,4.5,,,2018-03-05
2021-04-14,Ant-Man,2015,https://boxd.it/1N9G89,4,,,2018-03-05
2021-04-14,I Am Legend,2007,https://boxd.it/1N9G8t,4,,,2018-03-05
2021-04-14,The Prestige,2006,https://boxd.it/1N9G8D,4,,,2018-03-05
2021-04-14,Lady Bird,2017,https://boxd.it/1N9Gbd,3.5,,,2018-03-05
2021-04-14,Moonlight,2016,https://boxd.it/1N9Gc1,4,,,2018-03-05
2021-04-14,Dunkirk,2017,https://boxd.it/1N9GcF,4.5,,,2018-03-05
2021-04-14,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/1N9GcZ,4.5,,,2018-03-05
2021-04-14,Get Out,2017,https://boxd.it/1N9Gdj,4,,,2018-03-05
2021-04-14,The Shape of Water,2017,https://boxd.it/1N9GgR,4,,,2018-03-05
2021-04-14,Call Me by Your Name,2017,https://boxd.it/1N9Gj7,4,,,2018-03-05
2021-04-14,The Post,2017,https://boxd.it/1N9Gnj,3.5,,,2018-03-05
2021-04-14,A Clockwork Orange,1971,https://boxd.it/1N9GqH,4,,,2018-03-05
2021-04-14,Jaws,1975,https://boxd.it/1N9Gxj,4,,,2018-03-05
2021-04-14,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/1N9Gxt,4.5,,,2018-03-05
2021-04-14,Taxi Driver,1976,https://boxd.it/1N9Gzz,4.5,,,2018-03-05
2021-04-14,Star Wars,1977,https://boxd.it/1N9GBF,4.5,,,2018-03-05
2021-04-14,Man of Steel,2013,https://boxd.it/1N9GBZ,3.5,,,2018-03-05
2021-04-14,Alien,1979,https://boxd.it/1N9GDL,4.5,,,2018-03-05
2021-04-14,Rocky II,1979,https://boxd.it/1N9GEJ,3.5,,,2018-03-05
2021-04-14,The Empire Strikes Back,1980,https://boxd.it/1N9GGb,4.5,,,2018-03-05
2021-04-14,Blade Runner,1982,https://boxd.it/1N9GKx,4,,,2018-03-05
2021-04-14,Rocky III,1982,https://boxd.it/1N9GLF,3.5,,,2018-03-05
2021-04-14,The Avengers,2012,https://boxd.it/1N9GLZ,4,,,2018-03-05
2021-04-14,Return of the Jedi,1983,https://boxd.it/1N9GN7,3.5,,,2018-03-05
2021-04-14,The Terminator,1984,https://boxd.it/1N9GOT,4.5,,,2018-03-05
2021-04-14,Rocky IV,1985,https://boxd.it/1N9GQ1,4,,,2018-03-05
2021-04-14,Aliens,1986,https://boxd.it/1N9GQl,4,,,2018-03-05
2021-04-14,The Amazing Spider-Man,2012,https://boxd.it/1N9GSV,4,,,2018-03-05
2021-04-14,Back to the Future Part III,1990,https://boxd.it/1N9GVP,3.5,,,2018-03-05
2021-04-14,The Wolf of Wall Street,2013,https://boxd.it/1N9GVZ,4.5,,,2018-03-05
2021-04-14,Die Hard 2,1990,https://boxd.it/1N9GW9,4,,,2018-03-05
2021-04-14,Silver Linings Playbook,2012,https://boxd.it/1N9Eyp,4,,,2018-03-16
2021-04-14,Planet Terror,2007,https://boxd.it/1N9ED5,3.5,,,2018-03-16
2021-04-14,Trainspotting,1996,https://boxd.it/1N9ENf,4.5,,,2018-03-16
2021-04-14,Life Is Beautiful,1997,https://boxd.it/1N9EOn,4,,,2018-03-16
2021-04-14,The Game,1997,https://boxd.it/1N9EOH,4,,,2018-03-16
2021-04-14,Jackie Brown,1997,https://boxd.it/1N9EPb,4,,,2018-03-16
2021-04-14,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1N9EPP,4,,,2018-03-16
2021-04-14,The Cabin in the Woods,2011,https://boxd.it/1N9EVt,4.5,,,2018-03-16
2021-04-14,Rise of the Planet of the Apes,2011,https://boxd.it/1N9EYd,3.5,,,2018-03-16
2021-04-14,Planet of the Apes,2001,https://boxd.it/1N9EZ1,2,,,2018-03-16
2021-04-14,American Psycho,2000,https://boxd.it/1N9F3n,3,,,2018-03-16
2021-04-14,The Conjuring,2013,https://boxd.it/1N9F4b,4,,,2018-03-16
2021-04-14,The King's Speech,2010,https://boxd.it/1N9F5j,4,,,2018-03-16
2021-04-14,Sherlock Holmes: A Game of Shadows,2011,https://boxd.it/1N9F5D,3.5,,,2018-03-16
2021-04-14,Melancholia,2011,https://boxd.it/1N9F5X,4,,,2018-03-16
2021-04-14,Captain Phillips,2013,https://boxd.it/1N9F6r,3,,,2018-03-16
2021-04-14,Insidious,2010,https://boxd.it/1N9F7p,3.5,,,2018-03-16
2021-04-14,American Hustle,2013,https://boxd.it/1N9Fe1,4,,,2018-03-16
2021-04-14,Requiem for a Dream,2000,https://boxd.it/1N9Feb,4.5,,,2018-03-16
2021-04-14,Mama,2013,https://boxd.it/1N9Fk9,3,,,2018-03-16
2021-04-14,American Sniper,2014,https://boxd.it/1N9Fn3,4,,,2018-03-16
2021-04-14,Insidious: Chapter 2,2013,https://boxd.it/1N9Fob,4,,,2018-03-16
2021-04-14,Fury,2014,https://boxd.it/1N9Fxx,3.5,,,2018-03-16
2021-04-14,Sinister 2,2015,https://boxd.it/1N9Fy1,2,,,2018-03-16
2021-04-14,T2 Trainspotting,2017,https://boxd.it/1N9Fyb,4,,,2018-03-16
2021-04-14,Nightcrawler,2014,https://boxd.it/1N9Fzt,4.5,,,2018-03-16
2021-04-14,Batman v Superman: Dawn of Justice,2016,https://boxd.it/1N9FBp,2,,,2018-03-16
2021-04-14,Inferno,2016,https://boxd.it/1N9FCx,2.5,,,2018-03-16
2021-04-14,The Conjuring 2,2016,https://boxd.it/1N9FCH,3.5,,,2018-03-16
2021-04-14,Creed,2015,https://boxd.it/1N9FCR,3.5,,,2018-03-16
2021-04-14,Room,2015,https://boxd.it/1N9FEj,4,,,2018-03-16
2021-04-14,Insidious: Chapter 3,2015,https://boxd.it/1N9FFh,2.5,,,2018-03-16
2021-04-14,Live Free or Die Hard,2007,https://boxd.it/1N9FIZ,3.5,,,2018-03-16
2021-04-14,Sicario,2015,https://boxd.it/1N9FJt,4,,,2018-03-16
2021-04-14,Captain America: Civil War,2016,https://boxd.it/1N9FL5,3.5,,,2018-03-16
2021-04-14,Mr. & Mrs. Smith,2005,https://boxd.it/1N9FM3,3.5,,,2018-03-16
2021-04-14,Bridge of Spies,2015,https://boxd.it/1N9FPh,4,,,2018-03-16
2021-04-14,Iron Man,2008,https://boxd.it/1N9FPV,4.5,,,2018-03-16
2021-04-14,The Da Vinci Code,2006,https://boxd.it/1N9FSP,4,,,2018-03-16
2021-04-14,Sin City,2005,https://boxd.it/1N9FU7,4,,,2018-03-16
2021-04-14,Zodiac,2007,https://boxd.it/1N9G1d,4,,,2018-03-16
2021-04-14,Pirates of the Caribbean: At World's End,2007,https://boxd.it/1N9G1R,4,,,2018-03-16
2021-04-14,Grindhouse,2007,https://boxd.it/1N9G4h,4,,,2018-03-16
2021-04-14,Lights Out,2016,https://boxd.it/1N9G7Z,4,,,2018-03-16
2021-04-14,12 Angry Men,1957,https://boxd.it/1N9Gcv,4.5,,,2018-03-16
2021-04-14,2001: A Space Odyssey,1968,https://boxd.it/1N9Gmv,4.5,,,2018-03-16
2021-04-14,The Godfather,1972,https://boxd.it/1N9Gt7,4.5,,,2018-03-16
2021-04-14,The Godfather Part II,1974,https://boxd.it/1N9Gwv,4.5,,,2018-03-16
2021-04-14,Drive,2011,https://boxd.it/1N9GDr,4,,,2018-03-16
2021-04-14,Black Swan,2010,https://boxd.it/1N9GSL,4,,,2018-03-16
2021-04-14,Machete,2010,https://boxd.it/1N9GVv,3.5,,,2018-03-16
2021-04-14,The Godfather Part III,1990,https://boxd.it/1N9GWj,3.5,,,2018-03-16
2021-04-14,Jackie,2016,https://boxd.it/1N9F8H,3,,,2018-03-17
2021-04-14,Metropolis,1927,https://boxd.it/1N9FcT,4.5,,,2018-03-17
2021-04-14,Cloverfield,2008,https://boxd.it/1N9EAP,3.5,,,2018-03-21
2021-04-14,10 Cloverfield Lane,2016,https://boxd.it/1N9ENz,4,,,2018-03-21
2021-04-14,Dawn of the Planet of the Apes,2014,https://boxd.it/1N9Flh,4,,,2018-03-21
2021-04-14,The Cloverfield Paradox,2018,https://boxd.it/1N9FtZ,3,,,2018-03-21
2021-04-14,Life,2017,https://boxd.it/1N9Ggd,3.5,,,2018-03-21
2021-04-14,GoldenEye,1995,https://boxd.it/1N9EHV,4,,,2018-03-24
2021-04-14,Elysium,2013,https://boxd.it/1N9F6h,3.5,,,2018-03-24
2021-04-14,The Babadook,2014,https://boxd.it/1N9FpN,4.5,,,2018-03-24
2021-04-14,City of God,2002,https://boxd.it/1N9FED,4.5,,,2018-03-24
2021-04-14,Hot Fuzz,2007,https://boxd.it/1N9FZ7,4,,,2018-03-24
2021-04-14,The Lion King,1994,https://boxd.it/1N9EER,4,,,2018-03-28
2021-04-14,Toy Story,1995,https://boxd.it/1N9EJ3,4.5,,,2018-03-28
2021-04-14,The Intouchables,2011,https://boxd.it/1N9Fbr,3.5,,,2018-03-28
2021-04-14,Citizen Kane,1941,https://boxd.it/1N9FIF,4.5,,,2018-03-28
2021-04-14,Downfall,2004,https://boxd.it/1N9FNF,4,,,2018-03-28
2021-04-14,Pan's Labyrinth,2006,https://boxd.it/1N9G3D,4.5,,,2018-03-28
2021-04-14,Dial M for Murder,1954,https://boxd.it/1N9G6n,4.5,,,2018-03-28
2021-04-14,For a Few Dollars More,1965,https://boxd.it/1N9Gld,4,,,2018-03-28
2021-04-14,"The Good, the Bad and the Ugly",1966,https://boxd.it/1N9Gln,4.5,,,2018-03-28
2021-04-14,Death Sentence,2007,https://boxd.it/1N9GG1,3.5,,,2018-03-28
2021-04-14,Raiders of the Lost Ark,1981,https://boxd.it/1N9GIh,4,,,2018-03-28
2021-04-14,Back to the Future,1985,https://boxd.it/1N9GPn,4.5,,,2018-03-28
2021-04-14,Avatar,2009,https://boxd.it/1N9Gcl,4,,,2018-03-29
2021-04-14,Point Break,1991,https://boxd.it/1N9EwD,3.5,,,2018-03-31
2021-04-14,Point Break,2015,https://boxd.it/1N9Fkt,2.5,,,2018-03-31
2021-04-14,Inside Llewyn Davis,2013,https://boxd.it/1N9Fkj,3.5,,,2018-04-02
2021-04-14,Loving Vincent,2017,https://boxd.it/1N9FGp,4,,,2018-04-10
2021-04-14,Serena,2014,https://boxd.it/1N9EUP,1,,,2018-04-18
2021-04-14,Chloe,2009,https://boxd.it/1N9F0D,2.5,,,2018-04-18
2021-04-14,Gerald's Game,2017,https://boxd.it/1N9FQT,3.5,,,2018-04-18
2021-04-14,Zombieland,2009,https://boxd.it/1N9EJx,4,,,2018-04-19
2021-04-14,The World's End,2013,https://boxd.it/1N9ETn,4.5,,,2018-04-19
2021-04-14,Spider-Man: Homecoming,2017,https://boxd.it/1N9Fol,4,,,2018-04-19
2021-04-14,The Witch,2015,https://boxd.it/1N9FZh,4,,,2018-04-19
2021-04-14,Game Night,2018,https://boxd.it/1N9Fxn,4,,,2018-04-23
2021-04-14,mother!,2017,https://boxd.it/1N9GeL,4,,,2018-04-25
2021-04-14,The Greatest Showman,2017,https://boxd.it/1N9F4P,3.5,,,2018-04-30
2021-04-14,Killing Them Softly,2012,https://boxd.it/1N9Fdx,3.5,,,2018-04-30
2021-04-14,From Dusk Till Dawn,1996,https://boxd.it/1N9EJR,3.5,,,2018-05-04
2021-04-14,Rosemary's Baby,1968,https://boxd.it/1N9GnX,3.5,,,2018-05-04
2021-04-14,Locke,2013,https://boxd.it/1N9Fxd,4.5,,,2018-05-06
2021-04-14,Halloween,1978,https://boxd.it/1N9GCX,4,,,2018-05-06
2021-04-14,Loro 1,2018,https://boxd.it/1N9Gs9,3.5,,,2018-05-13
2021-04-14,Beauty and the Beast,1991,https://boxd.it/1N9EvF,4,,,2018-05-15
2021-04-14,The Imaginarium of Doctor Parnassus,2009,https://boxd.it/1N9EyT,3,,,2018-05-15
2021-04-14,Groundhog Day,1993,https://boxd.it/1N9ECh,3.5,,,2018-05-15
2021-04-14,The Hangover,2009,https://boxd.it/1N9EH7,4,,,2018-05-15
2021-04-14,Twelve Monkeys,1995,https://boxd.it/1N9EJd,4,,,2018-05-15
2021-04-14,Toy Story 2,1999,https://boxd.it/1N9EQt,4,,,2018-05-15
2021-04-14,Now You See Me,2013,https://boxd.it/1N9Fat,4,,,2018-05-15
2021-04-14,X-Men: Days of Future Past,2014,https://boxd.it/1N9Fg7,4,,,2018-05-15
2021-04-14,"Monsters, Inc.",2001,https://boxd.it/1N9FjF,4,,,2018-05-15
2021-04-14,Spectre,2015,https://boxd.it/1N9Fr5,3.5,,,2018-05-15
2021-04-14,It Follows,2014,https://boxd.it/1N9FFV,4,,,2018-05-15
2021-04-14,Sully,2016,https://boxd.it/1N9FGz,3.5,,,2018-05-15
2021-04-14,War for the Planet of the Apes,2017,https://boxd.it/1N9FKh,4,,,2018-05-15
2021-04-14,The Lobster,2015,https://boxd.it/1N9FKL,4,,,2018-05-15
2021-04-14,Kung Fury,2015,https://boxd.it/1N9FKV,4,,,2018-05-15
2021-04-14,Shaun of the Dead,2004,https://boxd.it/1N9FOt,4,,,2018-05-15
2021-04-14,Rope,1948,https://boxd.it/1N9FV5,4.5,,,2018-05-15
2021-04-14,Scott Pilgrim vs. the World,2010,https://boxd.it/1N9G1x,4,,,2018-05-15
2021-04-14,Blood Diamond,2006,https://boxd.it/1N9G21,4,,,2018-05-15
2021-04-14,Sin City: A Dame to Kill For,2014,https://boxd.it/1N9G3X,3.5,,,2018-05-15
2021-04-14,The Strangers,2008,https://boxd.it/1N9G8N,3.5,,,2018-05-15
2021-04-14,Isle of Dogs,2018,https://boxd.it/1N9GeB,4,,,2018-05-15
2021-04-14,The Birds,1963,https://boxd.it/1N9Gi9,4,,,2018-05-15
2021-04-14,The Exorcist,1973,https://boxd.it/1N9Guz,4,,,2018-05-15
2021-04-14,The Place,2017,https://boxd.it/1N9GuT,3.5,,,2018-05-15
2021-04-14,Friday the 13th,1980,https://boxd.it/1N9GGl,3,,,2018-05-15
2021-04-14,Angels & Demons,2009,https://boxd.it/1N9GGv,4,,,2018-05-15
2021-04-14,Quantum of Solace,2008,https://boxd.it/1N9GIr,3,,,2018-05-15
2021-04-14,Loro 2,2018,https://boxd.it/1N9GIL,4,,,2018-05-15
2021-04-14,Dogman,2018,https://boxd.it/1N9GsD,4,,,2018-05-17
2021-04-14,Nosferatu,1922,https://boxd.it/1N9F09,4,,,2018-05-18
2021-04-14,Panic Room,2002,https://boxd.it/1N9Fut,3.5,,,2018-05-18
2021-04-14,Now You See Me 2,2016,https://boxd.it/1N9FDb,3,,,2018-05-18
2021-04-14,Captain America: The First Avenger,2011,https://boxd.it/1N9G3N,3.5,,,2018-05-18
2021-04-14,A Fistful of Dollars,1964,https://boxd.it/1N9Gkf,4,,,2018-05-18
2021-04-14,Evil Dead,2013,https://boxd.it/1N9EXf,4,,,2018-05-25
2021-04-14,Family Plot,1976,https://boxd.it/1N9GyV,3.5,,,2018-05-25
2021-04-14,The Evil Dead,1981,https://boxd.it/1N9GLb,4.5,,,2018-05-25
2021-04-14,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/1N9EAF,3.5,,,2018-05-26
2021-04-14,Deep Red,1975,https://boxd.it/1N9GxX,4.5,,,2018-06-04
2021-04-14,Suspiria,1977,https://boxd.it/1N9GBP,4.5,,,2018-06-04
2021-04-14,Eraserhead,1977,https://boxd.it/1N9GyL,4,,,2018-06-06
2021-04-14,Premature,2014,https://boxd.it/1N9Fnd,2.5,,,2018-06-22
2021-04-14,The Killing of a Sacred Deer,2017,https://boxd.it/1N9GiN,4.5,,,2018-06-29
2021-04-14,The Purge: Election Year,2016,https://boxd.it/1N9FWx,3,,,2018-07-08
2021-04-14,Phantom Thread,2017,https://boxd.it/1N9GjL,4,,,2018-07-08
2021-04-14,The Matrix Reloaded,2003,https://boxd.it/1N9FqB,3.5,,,2018-07-15
2021-04-14,The Incredibles,2004,https://boxd.it/1N9FEN,4,,,2018-07-29
2021-04-14,The Last Prosecco,2017,https://boxd.it/1N9Gth,3.5,,,2018-08-05
2021-04-14,Just Believe,2018,https://boxd.it/1N9GAn,3.5,,,2018-08-05
2021-04-14,Borg vs McEnroe,2017,https://boxd.it/1N9Gjr,3.5,,,2018-08-08
2021-04-14,Blue Velvet,1986,https://boxd.it/1N9GQv,4,,,2018-08-09
2021-04-14,Knight of Cups,2015,https://boxd.it/1N9Fl7,3.5,,,2018-08-10
2021-04-14,Thor,2011,https://boxd.it/1N9GFR,3,,,2018-08-10
2021-04-14,Friday the 13th Part 2,1981,https://boxd.it/1N9GI7,3,,,2018-08-10
2021-04-14,Final Destination,2000,https://boxd.it/1N9Fix,3.5,,,2018-08-13
2021-04-14,Disturbia,2007,https://boxd.it/1N9Ga5,3.5,,,2018-08-13
2021-04-14,Creep 2,2017,https://boxd.it/1N9FOj,4,,,2018-08-14
2021-04-14,Annabelle,2014,https://boxd.it/1N9FHn,2.5,,,2018-08-26
2021-04-14,Swiss Army Man,2016,https://boxd.it/1N9FUB,4,,,2018-08-31
2021-04-14,House of 1000 Corpses,2003,https://boxd.it/1N9Ftb,3,,,2018-09-02
2021-04-14,Close Enemies,2018,https://boxd.it/1N9Gpf,3,,,2018-09-02
2021-04-14,Insidious: The Last Key,2018,https://boxd.it/1N9GiX,2,,,2018-09-03
2021-04-14,Roma,2018,https://boxd.it/1N9Gm1,4.5,,,2018-09-09
2021-04-14,Cabin Fever,2002,https://boxd.it/1N9FCd,3,,,2018-09-10
2021-04-14,Mulholland Drive,2001,https://boxd.it/1N9Faj,5,,,2018-09-11
2021-04-14,Blade Runner 2049,2017,https://boxd.it/1N9FfD,4.5,,,2018-09-11
2021-04-14,Ant-Man and the Wasp,2018,https://boxd.it/1N9Geh,3,,,2018-09-11
2021-04-14,Guardians of the Galaxy,2014,https://boxd.it/1N9FjZ,4,,,2018-09-12
2021-04-14,No Way Out,1987,https://boxd.it/1N9GRN,3.5,,,2018-09-15
2021-04-14,The Nun,2018,https://boxd.it/1N9GjV,3,,,2018-09-30
2021-04-14,Apostle,2018,https://boxd.it/1N9Gml,3.5,,,2018-10-26
2021-04-14,Bad Times at the El Royale,2018,https://boxd.it/1N9GpT,3.5,,,2018-11-07
2021-04-14,Spider-Man 3,2007,https://boxd.it/1N9FXb,3.5,,,2018-11-19
2021-04-14,The Ballad of Buster Scruggs,2018,https://boxd.it/1N9Goh,4,,,2018-11-19
2021-04-14,A Star Is Born,2018,https://boxd.it/1N9F5N,3.5,,,2018-11-22
2021-04-14,Fantastic Beasts and Where to Find Them,2016,https://boxd.it/1N9FF7,3.5,,,2018-12-02
2021-04-14,Last Tango in Paris,1972,https://boxd.it/1N9Gv3,4,,,2018-12-05
2021-04-14,Ghostland,2018,https://boxd.it/1N9Gmb,3.5,,,2018-12-08
2021-04-14,I Can Quit Whenever I Want,2014,https://boxd.it/1N9FK7,4,,,2018-12-09
2021-04-14,I Can Quit Whenever I Want 2: Masterclass,2017,https://boxd.it/1N9GkT,3.5,,,2018-12-10
2021-04-14,The Texas Chain Saw Massacre,1974,https://boxd.it/1N9GwF,4,,,2018-12-22
2021-04-14,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/1N9G4V,4,,,2018-12-25
2021-04-14,Silence,2016,https://boxd.it/1N9GaT,4.5,,,2019-01-03
2021-04-14,Love,2015,https://boxd.it/1N9FRH,4,,,2019-01-06
2021-04-14,Bird Box,2018,https://boxd.it/1N9FxR,3,,,2019-01-08
2021-04-14,Aquaman,2018,https://boxd.it/1N9F4v,3,,,2019-01-13
2021-04-14,Glass,2019,https://boxd.it/1N9GsN,3.5,,,2019-01-17
2021-04-14,Black Mirror: Bandersnatch,2018,https://boxd.it/1N9GTJ,4,,,2019-01-22
2021-04-14,The Invisible Witness,2018,https://boxd.it/1N9GCj,3.5,,,2019-01-23
2021-04-14,The Favourite,2018,https://boxd.it/1N9Ge7,4,,,2019-01-24
2021-04-14,Creed II,2018,https://boxd.it/1N9GnN,4,,,2019-02-02
